,index,WhetherS,stop_name,stop_lon,stop_lat,geometry
0,0,1.0,Altrincham Interchange,-2.34741655354,53.387903791099994,POINT (-2.34741655354 53.38790379109999)
1,1,1.0,Piccadilly Gardens,-2.23548279212,53.48144220868,POINT (-2.23548279212 53.48144220868)
2,2,1.0,Bolton Interchange,-2.42812079582,53.57570801646,POINT (-2.42812079582 53.57570801646)
3,15,1.0,Rochdale Interchange,-2.15421056514,53.616166294399996,POINT (-2.15421056514 53.6161662944)
4,27,1.0,Middleton Bus Station,-2.19988741295,53.5479223967,POINT (-2.19988741295 53.5479223967)
5,31,1.0,Bury Interchange,-2.29646455142,53.59138712064,POINT (-2.29646455142 53.59138712064)
6,34,1.0,Leigh Bus Station,-2.51827054956,53.495830359879996,POINT (-2.51827054956 53.49583035988)
7,37,1.0,Salford Shopping Centre,-2.28623851745,53.48885465856,POINT (-2.28623851745 53.48885465856)
8,39,1.0,Wigan Bus Station,-2.63407244395,53.546614426290006,POINT (-2.63407244395 53.54661442629001)
9,59,1.0,Stockport Bus Station,-2.16410710179,53.40839530012,POINT (-2.16410710179 53.40839530012)
10,64,1.0,Ashton-under-Lyne Interchange,-2.09831902615,53.490235979329995,POINT (-2.09831902615 53.49023597933)
